GADS;MENESIS;MARKA;MODELIS;SKAITS
2024;1;AMBER;450E;1
2024;1;AVIKS;L310S;1
2024;1;PELLA;-;1
2024;1;PAŠBŪVĒTA;-;1
2024;1;PAŠBŪVĒTA;;1
2024;1;PAŠBŪVĒTA;-;1
2024;1;PAŠBŪVĒTA;-;1
2024;1;BUSH;KAIMAN L420;1
2024;1;EGO;PELLA-MINI;1
2024;1;PAŠBŪVĒTA;;1
2024;1;DULKAN;345;1
2024;1;;;1
2024;1;PAŠBŪVĒTA;-;1
2024;1;PAŠBŪVĒTA;-;1
2024;1;CARGO;PELLA;1
2024;1;BUSH;KAIMAN L330;1
2024;1;AMBER;315;1
2024;1;AMBER;430;1
2024;1;DM;LOTTA 360;1
2024;1;DULKAN;325;1
2024;1;PAŠBŪVĒTA;-;1
2024;1;BAYLINER;2655;1
2024;1;EGO;BLESSER 440;1
2024;1;SEA RAYDER;F16;1
2024;1;BAYLINER;AVANTI 2955;1
2024;1;;;14
2024;1;;;2
2024;1;;;2
2024;1;;;16
2024;1;;;1
2024;1;;;2
2024;1;HONWAVE;T40 AE;1
2024;1;DM;ASTRA 430;1
2024;1;GLADIATOR;B330AL;1
2024;1;BOMBARD;EXPLORER SB 500;1
2024;1;BAYLINER;CAPRI;1
2024;1;BUSH;FAVORIT F420;1
2024;1;DULKAN;370;1
2024;1;BREMA;390 V;1
2024;1;TANGIRI;420;1
2024;1;BUSH;K360;1
2024;1;BUSH;SKATE S410HKRESCUEL;1
2024;1;KOLIBRI;KM 390DXL;1
2024;1;BUSTER;RS;1
2024;1;BUSH;KAIMAN L360;1
2024;1;KAZANKA;M;1
2024;1;BUSH;KAIMAN-330;1
2024;1;HONDA;T40;1
2024;1;DM;ASTRA 470;1
2024;1;FJORD PLAST;HT21;1
2024;1;NAUTIQUE;SUPER AIR NAUTIQUE G23;1
2024;1;TERHI;400;1
2024;1;GLADIATOR;370;1
2024;1;WAVE FUN;360IB;1
2024;1;BUSH;CLASSIC C-430;1
2024;1;BELLA;;1
2024;1;BRIG;DINGO 330;1
2024;1;BUSH;KAIMAN 300R;1
2024;1;BUSH;CLASSIC C-420;1
2024;1;VOLZHANKA;46;1
2024;1;LATREX;LATREX 470;1
2024;1;CRESCENT;500;1
2024;1;GLADIATOR;E380;1
2024;1;JAL;6;1
2024;1;OUTLAND;K-400;1
2024;1;BUSH;KAIMAN L360;1
2024;1;BUSH;COMMANDER 600;2
2024;1;MAXUM;1600 SR;1
2024;1;KOLIBRI;KM 330;1
2024;1;DULKAN;RIB 500;1
2024;1;KRIM;-;1
2024;1;PROGRESS;-;2
2024;1;BUSH;SKATE S-380;1
2024;1;DULKAN;370 DZ;1
2024;1;LATREX;LATREX 470;1
2024;1;WAVE FUN;420AL;1
2024;1;DULKAN;370;1
2024;1;SEA DOO;RXP XRS;1
2024;1;SEA DOO;RXP X-300 APEX;1
2024;1;SEA DOO;SPARK 2UP 900HO;1
2024;1;SEA DOO;SPARK 2UP 900HO/IBR TRIXX;1
2024;1;SEA DOO;SPARK 2UP 900HO/IBR TRIXX;1
2024;1;SEA DOO;RXP;1
2024;1;YAMAHA;WAVERUNNER FX CRUISER;1
2024;1;SEA DOO;RXP X 260;1
2024;1;SEA DOO;SPARK 2UP 900HO/IBR TRIXX;1
2024;2;GLADIATOR;E380;1
2024;2;GLADIATOR;E350;1
2024;2;AKVEREX;340;1
2024;2;OKA;4;1
2024;2;DM;LOTTA 430;1
2024;2;DM;PELLA NOVA;1
2024;2;PELLA;FJORD;1
2024;2;PELLA;-;1
2024;2;GLADIATOR;E350;1
2024;2;DULKAN;290 DL;2
2024;2;DULKAN;325 DZ;1
2024;2;PAŠBŪVĒTA;-;1
2024;2;BUSH;ULTRA U-320;1
2024;2;DULKAN;325;1
2024;2;AKVEREX;400;1
2024;2;GLADIATOR;370;1
2024;2;LATREX;LATREX 440;1
2024;2;AKVEREX;TRELO LONG;1
2024;2;DULKAN;420 DZ;1
2024;2;BUSH;KAIMAN 330R;1
2024;2;PAŠBŪVĒTA;-;1
2024;2;DULKAN;325;1
2024;2;PAŠBŪVĒTA;-;1
2024;2;GLADIATOR;330;2
2024;2;MARINE;15S;1
2024;2;AKVEREX;400;1
2024;2;BUSH;KAIMAN L330;2
2024;2;GLADIATOR;AK 300;1
2024;2;PELLA C;440;1
2024;2;GLADIATOR;330;1
2024;2;SKILSO;23;1
2024;2;SKIBSPLAST;660;1
2024;2;BAYLINER;-;1
2024;2;ASKELADDEN;16-3400;1
2024;2;MAREX;24;1
2024;2;ASKELADDEN;16-3400;1
2024;2;;;20
2024;2;;;1
2024;2;;;2
2024;2;;;2
2024;2;;;2
2024;2;;;29
2024;2;PROGRESS;2;2
2024;2;HIBO;ARMADA 390;1
2024;2;DULKAN;RIB 400;1
2024;2;PAŠBŪVĒTA;-;1
2024;2;VOLZHANKA;46;1
2024;2;SEALVER;Z8 HEVO LINE;1
2024;2;TERHI;SEA FUN C;1
2024;2;NAUTIQUE;SUPER AIR NAUTIQUE S21;1
2024;2;SILVER;VIKING;1
;